generation	best	sd	avg
272	339258	16099.94576972751	336344.58083832334
273	339258	16358.700387074234	336111.5898203593
274	339258	16193.733384956513	336235.33133732533
275	339258	16097.889653484848	336296.28243512975
276	339258	19117.920476085976	334982.4650698603
277	339258	18199.251363170562	335463.3502994012
278	339258	16824.390218622983	336065.8123752495
279	339258	17697.58435583355	335613.14171656687
280	339258	16882.062784199963	336004.97804391215
281	339258	18278.025068015435	335359.0748502994
282	339258	16575.90483229824	336143.5898203593
283	339258	15687.477188431001	336414.13373253495
284	339258	14259.974770523475	336935.2764471058
285	339258	15305.671164260646	336574.80339321354
286	339258	17168.270198712707	335908.5828343313
287	339258	17463.718868238768	335775.3243512974
288	339258	16701.743302007362	336051.1856287425
289	339258	15598.835581875708	336408.6566866267
290	339258	17378.828321499004	335817.99401197606
291	339258	18537.69006818298	335221.39321357285
292	339258	17659.923934886217	335717.23353293416
293	339258	16383.897385547729	336239.21956087823
294	339258	16908.923045840045	336003.6836327345
295	339258	17308.17629918353	335785.3902195609
296	339258	17992.08259321517	335565.5858283433
297	339258	16290.517856058592	336218.4231536926
298	339258	16963.553937150216	335947.0648702595
299	339258	17495.14527993762	335717.70958083833
300	339258	18825.11509326317	335187.6776447106
301	339258	17339.858060309154	335921.7125748503
302	339258	17191.31710138347	335853
303	339258	17574.85872155751	335663.0848303393
304	339258	14088.10758396114	337011.97904191614
305	339258	17332.49669798281	335873.5558882236
306	339258	15702.632562671175	336446.6636726547
307	339258	15727.705409637198	336463.1736526946
308	339258	15647.64676112077	336443.3143712575
309	339258	14616.88906771883	336834.14471057884
310	339258	18706.20031459847	335213.64271457086
311	339258	15901.545259030005	336242.0489021956
312	339258	15146.784884771141	336660.5249500998
313	339258	16859.253147643776	335993.7594810379
314	339258	15731.832481873766	336455.30139720556
315	339258	17752.82755182789	335695.84530938126
316	339258	19920.542772902594	334615.79141716566
317	339258	21467.809031269302	333752.872255489
318	339258	17903.01996765258	335401.380239521
319	339258	17750.399280491107	335596.1856287425
320	339258	17250.696194633285	335937.4241516966
321	339258	17153.402620120545	335918.20858283434
322	339258	17194.036814919036	335901.2684630739
323	339258	13244.954300666028	337278.1407185629
324	339258	17570.744327899298	335648.94211576844
325	339258	15862.281348146238	336342.32934131735
326	339258	16006.171072928579	336356.9730538922
327	339258	15222.240552334191	336641.97904191614
328	339258	18874.006757442767	335179.39321357285
329	339258	15696.547982643702	336556.4500998004
330	339258	15862.913724189704	336480.624750499
331	339258	17082.798376327344	335969.9141716567
332	339258	17836.553618659167	335604.5469061876
333	339258	17317.109205975743	335831.1516966068
334	339258	16752.6907933126	336080.04291417164
335	339258	17079.933075636218	335923.8003992016
336	339258	18344.527658262756	335407.5269461078
337	339258	17658.183833681414	335577.871257485
338	339258	16895.69081498891	335962.82934131735
339	339258	18126.614041576897	335394.55988023954
